analysis	anchor_gene	candidate_gene	rank	distance	anchor_length_quintile	candidate_length_quintile	expansion_rule	selected_count	selected_prop
PRIMARY_K50	CARD11	NFATC2	25	0.2775128360167691	5	5	PRIMARY_K50_50	215	0.0215
PRIMARY_K50	CARD11	ADCY9	26	0.29144464531628084	5	5	PRIMARY_K50_50	222	0.0222
PRIMARY_K50	CARD11	VDR	27	0.3019604877059365	5	5	PRIMARY_K50_50	210	0.021
PRIMARY_K50	CARD11	FOXK1	28	0.3070346929940051	5	5	PRIMARY_K50_50	183	0.0183
PRIMARY_K50	CARD11	SLC24A4	29	0.3136786921713862	5	5	PRIMARY_K50_50	207	0.0207
PRIMARY_K50	CARD11	PDE9A	30	0.3221162716261174	5	5	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	CARD11	GNG4	31	0.3241511703473296	5	5	PRIMARY_K50_50	194	0.0194
PRIMARY_K50	CARD11	NTN1	32	0.32772800902990434	5	5	PRIMARY_K50_50	172	0.0172
PRIMARY_K50	CARD11	DAAM2	33	0.3280660829553944	5	5	PRIMARY_K50_50	201	0.0201
PRIMARY_K50	CARD11	LPIN1	34	0.32877647999199566	5	5	PRIMARY_K50_50	192	0.0192
PRIMARY_K50	CARD11	CYFIP1	35	0.3289832841377604	5	5	PRIMARY_K50_50	183	0.0183
PRIMARY_K50	CARD11	NLRP1	36	0.32919431798601584	5	5	PRIMARY_K50_50	190	0.019
PRIMARY_K50	CARD11	PREX1	37	0.33159020320714644	5	5	PRIMARY_K50_50	182	0.0182
PRIMARY_K50	CARD11	SPTBN4	38	0.3321805904435888	5	5	PRIMARY_K50_50	201	0.0201
PRIMARY_K50	CARD11	SLIT1	39	0.333343725373985	5	5	PRIMARY_K50_50	185	0.0185
PRIMARY_K50	CARD11	ABCC1	40	0.3402922502697592	5	5	PRIMARY_K50_50	177	0.0177
PRIMARY_K50	CARD11	ITGB5	41	0.350951358793914	5	5	PRIMARY_K50_50	188	0.0188
PRIMARY_K50	CARD11	COL4A2	42	0.35167747400319155	5	5	PRIMARY_K50_50	181	0.0181
PRIMARY_K50	CARD11	PPARGC1B	43	0.35787965249176124	5	5	PRIMARY_K50_50	191	0.0191
PRIMARY_K50	CARD11	ADCY1	44	0.37252273280494136	5	5	PRIMARY_K50_50	214	0.0214
PRIMARY_K50	CARD11	TMOD1	45	0.3779641493027703	5	5	PRIMARY_K50_50	221	0.0221
PRIMARY_K50	CARD11	ECE1	46	0.3820951844990647	5	5	PRIMARY_K50_50	186	0.0186
PRIMARY_K50	CARD11	RGS9	47	0.3849388001782712	5	5	PRIMARY_K50_50	219	0.0219
PRIMARY_K50	CARD11	WNT5B	48	0.3861720304699734	5	5	PRIMARY_K50_50	199	0.0199
PRIMARY_K50	CARD11	CRHR1	49	0.386278436549705	5	5	PRIMARY_K50_50	226	0.0226
PRIMARY_K50	CARD11	PITPNM2	50	0.3906658640924079	5	5	PRIMARY_K50_50	204	0.0204
PRIMARY_K50	CHD7	AR	1	0.10471238216966942	5	5	PRIMARY_K50_50	194	0.0194
