database	pathway_id	pathway_name	frozen_tier_class	Tier1_BH	Tier1_BY	retained_under_BY	lost_under_BY
GO_BP	GO:0001938	positive regulation of endothelial cell proliferation	Neither	NO	NO	NA	NO
GO_BP	GO:0001941	postsynaptic membrane organization	Neither	NO	NO	NA	NO
GO_BP	GO:0001942	hair follicle development	Neither	NO	NO	NA	NO
GO_BP	GO:0001944	vasculature development	Neither	NO	NO	NA	NO
GO_BP	GO:0001945	lymph vessel development	Neither	NO	NO	NA	NO
GO_BP	GO:0001946	lymphangiogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0001947	heart looping	Neither	NO	NO	NA	NO
GO_BP	GO:0001952	regulation of cell-matrix adhesion	Neither	NO	NO	NA	NO
GO_BP	GO:0001953	negative regulation of cell-matrix adhesion	Neither	NO	NO	NA	NO
GO_BP	GO:0001954	positive regulation of cell-matrix adhesion	Neither	NO	NO	NA	NO
GO_BP	GO:0001956	positive regulation of neurotransmitter secretion	Neither	NO	NO	NA	NO
GO_BP	GO:0001958	endochondral ossification	Neither	NO	NO	NA	NO
GO_BP	GO:0001959	regulation of cytokine-mediated signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0001960	negative regulation of cytokine-mediated signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0001963	synaptic transmission, dopaminergic	Neither	NO	NO	NA	NO
GO_BP	GO:0001964	startle response	Neither	NO	NO	NA	NO
GO_BP	GO:0001974	blood vessel remodeling	Neither	NO	NO	NA	NO
GO_BP	GO:0001975	response to amphetamine	Neither	NO	NO	NA	NO
GO_BP	GO:0001990	regulation of systemic arterial blood pressure by hormone	Neither	NO	NO	NA	NO
GO_BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	Neither	NO	NO	NA	NO
GO_BP	GO:0002002	regulation of angiotensin levels in blood	Neither	NO	NO	NA	NO
GO_BP	GO:0002003	angiotensin maturation	Neither	NO	NO	NA	NO
GO_BP	GO:0002009	morphogenesis of an epithelium	Neither	NO	NO	NA	NO
GO_BP	GO:0002011	morphogenesis of an epithelial sheet	Neither	NO	NO	NA	NO
GO_BP	GO:0002021	response to dietary excess	Neither	NO	NO	NA	NO
GO_BP	GO:0002026	regulation of the force of heart contraction	Neither	NO	NO	NA	NO
GO_BP	GO:0002027	regulation of heart rate	Neither	NO	NO	NA	NO
GO_BP	GO:0002028	regulation of sodium ion transport	Neither	NO	NO	NA	NO
GO_BP	GO:0002029	desensitization of G protein-coupled receptor signaling pathway	Neither	NO	NO	NA	NO
GO_BP	GO:0002040	sprouting angiogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0002042	cell migration involved in sprouting angiogenesis	Neither	NO	NO	NA	NO
GO_BP	GO:0002052	positive regulation of neuroblast proliferation	Neither	NO	NO	NA	NO
GO_BP	GO:0002053	positive regulation of mesenchymal cell proliferation	Neither	NO	NO	NA	NO
GO_BP	GO:0002062	chondrocyte differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002064	epithelial cell development	Neither	NO	NO	NA	NO
GO_BP	GO:0002065	columnar/cuboidal epithelial cell differentiation	Neither	NO	NO	NA	NO
GO_BP	GO:0002082	regulation of oxidative phosphorylation	Neither	NO	NO	NA	NO
GO_BP	GO:0002088	lens development in camera-type eye	Neither	NO	NO	NA	NO
GO_BP	GO:0002089	lens morphogenesis in camera-type eye	Neither	NO	NO	NA	NO
GO_BP	GO:0002090	regulation of receptor internalization	Neither	NO	NO	NA	NO
GO_BP	GO:0002091	negative regulation of receptor internalization	Neither	NO	NO	NA	NO
GO_BP	GO:0002092	positive regulation of receptor internalization	Neither	NO	NO	NA	NO
