stage	stage_scope	database	family_n	pathway_id	pathway_name	P	q_BH	q_BY	BH_class	BY_class	classification_changed
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006995	cellular response to nitrogen starvation	0.0851774690659385	0.4803010214088541	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006997	nucleus organization	0.943673755461385	0.9747956723397552	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006998	nuclear envelope organization	0.576592333871806	0.7729633892374191	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0006999	nuclear pore organization	0.26051926522055	0.6179079517928544	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007000	nucleolus organization	0.123598590496189	0.5191934537112323	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007004	telomere maintenance via telomerase	0.236462280103614	0.6127713728539408	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007005	mitochondrion organization	0.755919208621805	0.8802905314078711	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007006	mitochondrial membrane organization	0.160120179432566	0.5589371547909766	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007007	inner mitochondrial membrane organization	0.124808087794045	0.5202051813544378	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007008	outer mitochondrial membrane organization	0.0283853728438657	0.31858172842500465	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007009	plasma membrane organization	0.0117286973530464	0.20821303118600284	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007015	actin filament organization	0.427514534552208	0.6946444311516599	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007018	microtubule-based movement	0.512800853722348	0.7391823775457934	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
MDV3	FULL_UNIVERSE	GO_BP	5450	GO:0007019	microtubule depolymerization	0.0678445841158233	0.452574031127585	1.0	NOT_SIGNIFICANT	NOT_SIGNIFICANT	NO
