stage	source	pathway_id	pathway_name	R	positive_n	positive_prop	interpretation
MDV3	GO_BP	GO:0001959	regulation of cytokine-mediated signaling pathway	1000	7	0.007	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001960	negative regulation of cytokine-mediated signaling pathway	1000	2	0.002	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001961	positive regulation of cytokine-mediated signaling pathway	1000	12	0.012	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001963	synaptic transmission, dopaminergic	1000	9	0.009	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001964	startle response	1000	3	0.003	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001974	blood vessel remodeling	1000	14	0.014	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001975	response to amphetamine	1000	4	0.004	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001990	regulation of systemic arterial blood pressure by hormone	1000	11	0.011	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0001991	regulation of systemic arterial blood pressure by circulatory renin-angiotensin	1000	58	0.058	CONDITIONAL_SUPPORTIVE_MD3_ONLY
MDV3	GO_BP	GO:0002002	regulation of angiotensin levels in blood	1000	55	0.055	CONDITIONAL_SUPPORTIVE_MD3_ONLY
