source	pathway_id	pathway_name	pathway_size	raw26_n	raw26_pathway_n	nonraw26_pathway_n	beta_Firth	SE_Firth	logCI95L	logCI95U	OR_Firth	CI95L	CI95U	P_Firth	q_Firth	fit_status	converged	solver_attempt	solver_type	iterations	prob01_warning	warning	enriched_flag	depleted_flag
GO_BP	GO:0140527	reciprocal homologous recombination	66	26	2	64	2.76410786394194	0.694139840945565	1.40361877545427	4.12459695242961	15.8648800437096	4.0699014095132	61.8428786046198	6.83199590922712e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0006167	AMP biosynthetic process	13	26	1	12	3.75382358323538	0.944367999885113	1.90289631530844	5.60475085116233	42.6839761175005	6.70528697058492	271.714219718238	7.03915372872494e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0050854	regulation of antigen receptor-mediated signaling pathway	72	26	3	69	2.46892953245586	0.621169568354204	1.25145955018932	3.68639951472239	11.8097980772584	3.49544100771129	39.9009253247096	7.04838270203847e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0045815	transcription initiation-coupled chromatin remodeling	56	26	2	54	2.78454609975658	0.700685376325778	1.41122799766416	4.157864201849	16.1924664440198	4.10098831731028	63.9348247918626	7.06660659208968e-05	0.00740634729363245	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0000028	ribosomal small subunit assembly	17	26	1	16	3.83698609548731	0.967384449162801	1.9409474159241	5.73302477505052	46.3854622001652	6.96534692618198	308.902216404367	7.29814211612179e-05	0.00750469330808751	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0045003	double-strand break repair via synthesis-dependent strand annealing	14	26	1	13	3.76070104049221	0.949843588536944	1.89904181601352	5.6223602649709	42.9785451205863	6.67949119352449	276.541324356116	7.51746281389313e-05	0.00758706895105881	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0002710	negative regulation of T cell mediated immunity	30	26	2	28	2.94679415524193	0.746879117966477	1.4829379832226	4.41065032726127	19.0448010819438	4.40587105960256	82.3229829797894	7.96413775735721e-05	0.00780456898588176	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
GO_BP	GO:0006177	GMP biosynthetic process	15	26	1	14	3.67003086659568	0.930577593103892	1.84613229929208	5.49392943389928	39.2531174517111	6.33526915148021	243.211013271286	8.01937363686933e-05	0.00780456898588176	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0009163	nucleoside biosynthetic process	17	26	1	16	3.66292322111534	0.933473734082675	1.83334832179918	5.4924981204315	38.9751093706877	6.25479470101049	242.863151081786	8.71014733223506e-05	0.00793770380493512	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0034404	nucleobase-containing small molecule biosynthetic process	17	26	1	16	3.66292322111534	0.933473734082675	1.83334832179918	5.4924981204315	38.9751093706877	6.25479470101049	242.863151081786	8.71014733223506e-05	0.00793770380493512	PASS	TRUE	A_ASMEAN_RA05	AS_mean	40	FALSE	""	TRUE	FALSE
GO_BP	GO:0140013	meiotic nuclear division	148	26	3	145	2.31886869593632	0.590971962610219	1.16058493334734	3.4771524585253	10.164169033588	3.19179972028467	32.3674231458782	8.71551976515988e-05	0.00793770380493512	PASS	TRUE	A_ASMEAN_RA05	AS_mean	39	FALSE	""	TRUE	FALSE
