source	pathway_id	pathway_name	n_genes	primary_10_500_flag
GO_BP	GO:0001842	neural fold formation	2	0
GO_BP	GO:0001843	neural tube closure	33	1
GO_BP	GO:0001845	phagolysosome assembly	15	1
GO_BP	GO:0001865	NK T cell differentiation	4	0
GO_BP	GO:0001866	NK T cell proliferation	1	0
GO_BP	GO:0001867	complement activation, lectin pathway	13	1
GO_BP	GO:0001868	regulation of complement activation, lectin pathway	2	0
GO_BP	GO:0001869	negative regulation of complement activation, lectin pathway	2	0
GO_BP	GO:0001878	response to yeast	11	1
GO_BP	GO:0001879	detection of yeast	2	0
GO_BP	GO:0001880	Mullerian duct regression	3	0
GO_BP	GO:0001881	receptor recycling	25	1
GO_BP	GO:0001885	endothelial cell development	37	1
GO_BP	GO:0001886	endothelial cell morphogenesis	6	0
GO_BP	GO:0001887	selenium compound metabolic process	8	0
GO_BP	GO:0001889	liver development	90	1
GO_BP	GO:0001890	placenta development	63	1
GO_BP	GO:0001892	embryonic placenta development	26	1
GO_BP	GO:0001893	maternal placenta development	19	1
GO_BP	GO:0001894	tissue homeostasis	161	1
GO_BP	GO:0001895	retina homeostasis	47	1
GO_BP	GO:0001905	activation of membrane attack complex	2	0
GO_BP	GO:0001906	cell killing	143	1
GO_BP	GO:0001909	leukocyte mediated cytotoxicity	58	1
GO_BP	GO:0001910	regulation of leukocyte mediated cytotoxicity	84	1
GO_BP	GO:0001911	negative regulation of leukocyte mediated cytotoxicity	29	1
GO_BP	GO:0001912	positive regulation of leukocyte mediated cytotoxicity	55	1
GO_BP	GO:0001913	T cell mediated cytotoxicity	10	1
GO_BP	GO:0001914	regulation of T cell mediated cytotoxicity	42	1
GO_BP	GO:0001915	negative regulation of T cell mediated cytotoxicity	8	0
GO_BP	GO:0001916	positive regulation of T cell mediated cytotoxicity	33	1
GO_BP	GO:0001919	regulation of receptor recycling	23	1
GO_BP	GO:0001920	negative regulation of receptor recycling	5	0
GO_BP	GO:0001921	positive regulation of receptor recycling	14	1
GO_BP	GO:0001922	B-1 B cell homeostasis	1	0
GO_BP	GO:0001923	B-1 B cell differentiation	1	0
GO_BP	GO:0001928	regulation of exocyst assembly	1	0
GO_BP	GO:0001932	regulation of protein phosphorylation	365	1
GO_BP	GO:0001933	negative regulation of protein phosphorylation	103	1
GO_BP	GO:0001934	positive regulation of protein phosphorylation	218	1
GO_BP	GO:0001935	endothelial cell proliferation	23	1
GO_BP	GO:0001936	regulation of endothelial cell proliferation	120	1
GO_BP	GO:0001937	negative regulation of endothelial cell proliferation	41	1
GO_BP	GO:0001938	positive regulation of endothelial cell proliferation	80	1
GO_BP	GO:0001941	postsynaptic membrane organization	21	1
GO_BP	GO:0001942	hair follicle development	30	1
GO_BP	GO:0001944	vasculature development	318	1
GO_BP	GO:0001945	lymph vessel development	19	1
GO_BP	GO:0001946	lymphangiogenesis	11	1
GO_BP	GO:0001947	heart looping	41	1
GO_BP	GO:0001949	sebaceous gland cell differentiation	1	0
GO_BP	GO:0001951	intestinal D-glucose absorption	4	0
GO_BP	GO:0001952	regulation of cell-matrix adhesion	122	1
GO_BP	GO:0001953	negative regulation of cell-matrix adhesion	37	1
GO_BP	GO:0001954	positive regulation of cell-matrix adhesion	57	1
GO_BP	GO:0001955	blood vessel maturation	5	0
GO_BP	GO:0001956	positive regulation of neurotransmitter secretion	19	1
GO_BP	GO:0001957	intramembranous ossification	1	0
